"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"+?,+?,+?,+?,-?,-?,-?,-?","8","TestPoint","","","","TestPoint:TestPoint_Pad_1.5x1.5mm",""
"+Buzzer1,-Buzzer1,ESC1,ESC2,ESC3,ESC4,LED?,LED?,LED?,TPLED?","10","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"C5,C6","2","220pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C7,C8,C9,C13","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C10","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C11","1","4.7nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C12","1","22nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"J2","1","HMC5883","","","","",""
"J3","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"L1","1","10uH","","","","Inductor_SMD:L_Panasonic_PCC-M0630M",""
"Q1","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R2","1","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3,R4,R7","3","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R8","1","100K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R9","1","6.8k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R10","1","5.6K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11","1","2.2K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"TP1,TP2,TP19,TP20","4","TestPoint","","","","TestPoint:TestPoint_Pad_2.5x2.5mm",""
"U1","1","","","","","ESP32-S3-Supermini:ESP32-S3-SuperMini",""
"U2","1","MPU-6050","","","","MPU-6050:QFN50P400X400X95-24N",""
"U3","1","MP2303ADN","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm","https://www.monolithicpower.com/pub/media/document/MP2303A_r1.1.pdf"
